,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,genre,like
0,2,0,2,4,0,0,115.909,11,1
0,3,3,2,3,1,4,105.681,10,1
0,2,2,3,1,0,1,121.965,10,1
0,3,1,2,4,1,2,82.033,10,1
0,2,3,2,0,1,2,128.931,10,1
0,4,3,4,1,0,3,87.105,11,1
0,3,2,3,1,1,0,102.006,5,1
0,1,3,4,1,0,0,131.966,9,1
0,2,2,2,3,1,1,105.01,9,1
0,3,2,3,0,1,3,130.051,5,1
0,1,3,3,0,0,2,150.149,10,1
0,4,2,3,0,1,3,109.037,8,1
0,3,3,4,0,0,4,82.488,11,1
0,1,4,3,3,0,3,87.274,10,1
0,2,2,3,0,1,1,138.522,8,1
0,2,3,3,0,0,2,87.304,11,1
0,2,2,3,0,1,2,157.445,10,1
0,2,3,4,0,0,2,97.501,8,1
0,2,2,4,0,0,4,171.259,6,1
0,2,2,3,1,1,2,133.983,10,1
0,2,2,3,3,0,2,82.932,6,1
0,1,3,3,0,0,1,116.859,6,1
0,4,1,3,0,0,2,77.015,5,1
0,2,3,3,1,1,3,82.006,10,1
0,2,3,3,2,0,2,78.244,8,1
0,2,3,3,1,0,0,93.703,8,1
0,3,2,3,2,0,2,80.958,5,1
0,3,3,3,3,0,4,112.931,10,1
0,2,2,3,4,1,2,95.77,10,1
0,3,4,4,0,0,4,113.249,11,1
0,3,1,3,0,0,1,81.353,10,1
0,1,1,2,4,1,0,83.055,10,1
0,2,3,3,0,1,3,114.277,10,1
0,3,3,3,3,0,2,91.043,8,1
0,2,3,4,1,0,2,134.78,9,1
0,4,2,3,3,1,3,97.376,10,1
0,2,2,3,0,0,2,83.892,9,1
0,4,3,4,0,0,4,120.075,4,1
0,1,3,4,1,0,0,139.928,9,1
0,2,4,4,0,0,4,122.458,6,1
0,1,2,3,1,0,0,138.308,6,1
0,3,2,3,1,0,4,105.041,10,1
0,1,2,3,0,1,2,102.246,10,1
0,0,2,3,3,1,2,172.619,10,1
0,3,4,4,0,1,4,103.987,10,1
0,2,1,2,4,1,0,179.956,11,1
0,2,1,2,1,0,3,195.873,10,1
0,4,3,4,0,0,4,129.021,11,1
0,3,2,3,2,0,2,84.839,10,1
0,2,2,4,1,0,2,183.671,8,1
0,2,1,2,3,1,2,148.198,10,1
0,3,3,3,0,1,3,107.303,10,1
0,2,4,4,0,0,3,86.621,11,1
0,4,3,2,1,0,4,105.822,6,1
0,4,2,2,2,0,0,99.978,8,1
0,3,1,2,2,0,2,96.247,10,1
0,1,3,4,1,0,1,109.873,5,1
0,2,2,2,1,1,4,137.198,10,1
0,4,2,3,0,0,3,90.487,9,1
0,2,1,2,4,1,1,109.837,10,1
0,4,3,4,2,0,3,96.684,10,1
0,2,2,3,1,1,1,110.552,5,1
0,2,1,3,2,0,2,120.175,11,1
0,2,3,3,2,0,1,175.39,9,1
0,1,2,3,2,0,2,84.01,10,1
0,1,1,2,1,0,0,172.266,8,1
0,2,2,3,2,0,2,110.951,10,1
0,2,1,2,2,0,0,109.959,10,1
0,2,0,0,3,1,0,140.844,10,1
0,1,3,3,0,1,3,118.865,10,1
0,3,3,3,2,0,3,117.171,9,1
0,2,0,2,3,1,3,85.41,10,1
0,2,0,0,4,1,0,64.811,10,1
0,2,2,3,1,0,2,92.9,9,1
0,3,3,4,1,0,3,77.055,5,1
0,4,2,3,1,0,4,104.034,10,1
0,3,3,3,2,0,3,96.064,7,1
0,2,0,1,4,0,0,124.925,10,1
0,3,4,4,0,0,2,105.245,10,1
0,1,0,2,4,1,0,70.628,10,1
0,4,3,4,0,0,1,101.985,11,1
0,3,3,4,1,0,4,97.674,10,1
0,3,3,3,0,1,2,95.097,10,1
0,3,2,3,2,0,2,83.077,8,1
0,1,2,3,1,1,1,80.044,10,1
0,3,2,3,0,0,0,135.988,11,1
0,1,2,1,1,1,3,134.747,10,1
0,4,1,3,3,1,2,165.99,11,1
0,3,2,3,0,0,2,96.47,8,1
0,1,2,3,1,1,1,84.56,5,1
0,3,3,4,0,0,3,101.003,11,1
0,3,3,3,2,1,1,178.093,10,1
0,2,2,3,1,0,2,71.826,9,1
0,0,1,3,4,0,0,168.267,4,1
0,1,1,3,3,0,0,143.446,11,1
0,1,3,4,0,0,1,148.198,9,1
0,3,2,3,1,1,3,145.99,10,1
